出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/04/11","115/3","5345","馥鴻","其他","2616","2665","335","-1.8386491557223263","680.8955223880597","6734","1761","282.3963657013061","主係產品線成熟且結合經銷商銷售動能，導致較去年同期增加。"
"115/04/11","115/3","5347","世界","半導體業","4940712","3579319","4605106","38.034972574391944","7.287693269166877","12531629","11949331","4.873059420648738","-"
"115/04/11","115/3","5348","正能量智能","運動休閒","24289","23157","18932","4.888370687049273","28.29600676103951","66782","53609","24.57236658023839","-"
"115/04/11","115/3","5351","鈺創","半導體業","1102522","869173","220672","26.847244449608997","399.6202508700696","2735412","627130","336.1794205348173","本月營收及本年累計營收皆較去年同期增加，主係市場需求增加所致。"
"115/04/11","115/3","5353","台林","通信網路業","167961","124901","160665","34.475304441117366","4.541125945289889","425010","444829","-4.455419947890088","-"
"115/04/11","115/3","5355","佳總","電子零組件業","45586","26740","40179","70.47868362004488","13.457278677916324","118960","117334","1.385787580752382","-"
"115/04/11","115/3","5356","協益","電腦及週邊設備業","282045","272682","295215","3.43366998921821","-4.46115542909405","779934","870088","-10.361480677816497","-"
"115/04/11","115/3","5364","力麗店","觀光餐旅","7055","32491","18478","-78.28629466621526","-61.81946098062561","59334","70398","-15.716355578283475","主係因調整旗下飯店營運結構，結束花蓮分公司及子公司力麗明池合作經營，致使力麗觀光及子公司合併營收下降所致。"
"115/04/11","115/3","5371","中光電","光電業","3282673","2873039","3045340","14.257864233656418","7.793317002370835","9361901","8473903","10.479208931232751","-"
"115/04/11","115/3","5381","光譜","電子零組件業","125264","102144","187336","22.634711779448622","-33.1340479139087","457262","672206","-31.97591214597906","-"
"115/04/11","115/3","5386","青雲","電腦及週邊設備業","3260949","2891514","504172","12.776524685683693","546.7929595455519","8613491","1246706","590.8999395206248","本期及累計營收增加主要係記憶體模組、顯卡及伺服器銷售成長所致"
"115/04/11","115/3","5392","能率","光電業","748007","605610","735634","23.512986905764436","1.6819505351846162","2138078","2085033","2.5440844341552387","-"
"115/04/11","115/3","5398","慕康生醫","其他","9305","8357","10309","11.343783654421443","-9.739062954699778","29154","25850","12.781431334622823","-"
"115/04/11","115/3","5403","中菲","資訊服務業","267709","182187","340172","46.94187839966628","-21.301870818291924","769225","847140","-9.197417191963549","-"
"115/04/11","115/3","5410","國眾","資訊服務業","778295","382306","383461","103.57907016892227","102.9658817976274","1619459","1339477","20.90233725551092","本月營收較去年同期大幅增加，主要係本月專案收入增加所致。"
"115/04/11","115/3","5425","台半","半導體業","1604058","1322227","1597367","21.314872559704195","0.4188768141572976","4391295","4513403","-2.7054530694467123","-"
"115/04/11","115/3","5426","振發","電腦及週邊設備業","138454","130580","162529","6.030019911165569","-14.812741110817147","499673","479135","4.286474584407317","-"
"115/04/11","115/3","5432","新門","綠能環保","18778","8298","15696","126.29549288985298","19.63557594291539","41377","38144","8.47577600671141","-"
"115/04/11","115/3","5438","東友","電腦及週邊設備業","59434","49832","126147","19.268742976400706","-52.88512608306183","166006","300092","-44.681630966503604","營業收入為反應中國市場低迷的促銷活動, 還未開始發酵, 且第一季日本客戶的年度結算及轉換交貨地點, 配合客戶減少出貨"
